"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"142",2008,"Spain","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",1273700,"es"
"148",2008,"France","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1966900,"fr"
"154",2008,"France","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",984200,"fr"
"160",2008,"France","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",982700,"fr"
"166",2008,"Croatia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",165000,"hr"
"172",2008,"Croatia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",74700,"hr"
"178",2008,"Croatia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",90300,"hr"
"184",2008,"Italy","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1657900,"it"
"190",2008,"Italy","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",8e+05,"it"
"196",2008,"Italy","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",857900,"it"
"202",2008,"Cyprus","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",14500,"cy"
"208",2008,"Cyprus","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",7000,"cy"
"214",2008,"Cyprus","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",7600,"cy"
"220",2008,"Latvia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",88100,"lv"
"226",2008,"Latvia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",48500,"lv"
"232",2008,"Latvia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",39600,"lv"
"238",2008,"Lithuania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",87400,"lt"
"244",2008,"Lithuania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",45600,"lt"
"250",2008,"Lithuania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",41800,"lt"
"256",2008,"Luxembourg","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",10800,"lu"
"262",2008,"Luxembourg","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",5200,"lu"
"268",2008,"Luxembourg","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",5600,"lu"
"274",2008,"Hungary","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",325900,"hu"
"280",2008,"Hungary","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",173600,"hu"
"286",2008,"Hungary","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",152400,"hu"
"292",2008,"Malta","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",10100,"mt"
"298",2008,"Malta","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",6200,"mt"
"304",2008,"Malta","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",3800,"mt"
"310",2008,"Netherlands","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",236600,"nl"
"316",2008,"Netherlands","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",117200,"nl"
"322",2008,"Netherlands","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",119400,"nl"
"328",2008,"Austria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",171800,"at"
"334",2008,"Austria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",87400,"at"
"340",2008,"Austria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",84400,"at"
"346",2008,"Poland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1207200,"pl"
"352",2008,"Poland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",596700,"pl"
"358",2008,"Poland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",610400,"pl"
"364",2008,"Portugal","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",417500,"pt"
"370",2008,"Portugal","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",188200,"pt"
"376",2008,"Portugal","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",229300,"pt"
"382",2008,"Romania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",575200,"ro"
"388",2008,"Romania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",368900,"ro"
"394",2008,"Romania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",206200,"ro"
"400",2008,"Slovenia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",45500,"si"
"406",2008,"Slovenia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",22600,"si"
"412",2008,"Slovenia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",23000,"si"
"418",2008,"Slovakia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",255500,"sk"
"424",2008,"Slovakia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",124300,"sk"
"430",2008,"Slovakia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",131300,"sk"
"436",2008,"Finland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",171800,"fi"
"442",2008,"Finland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",84700,"fi"
"448",2008,"Finland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",87100,"fi"
"454",2008,"Sweden","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",303300,"se"
"460",2008,"Sweden","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",151700,"se"
"466",2008,"Sweden","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",151600,"se"
"472",2008,"Iceland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",5300,"is"
"478",2008,"Iceland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",3200,"is"
"484",2008,"Iceland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",2100,"is"
"490",2008,"Norway","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",65500,"no"
"496",2008,"Norway","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",36700,"no"
"502",2008,"Norway","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",28800,"no"
"508",2008,"Switzerland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",145400,"ch"
"514",2008,"Switzerland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",66000,"ch"
"520",2008,"Switzerland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",79400,"ch"
"526",2008,"Montenegro","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"532",2008,"Montenegro","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"538",2008,"Montenegro","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"544",2008,"Serbia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"550",2008,"Serbia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"556",2008,"Serbia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"562",2008,"Turkey","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",2274700,"tr"
"568",2008,"Turkey","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",1654800,"tr"
"574",2008,"Turkey","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",619900,"tr"
"580",2009,"Belgium","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",379400,"be"
"586",2009,"Belgium","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",203700,"be"
"592",2009,"Belgium","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",175600,"be"
"598",2009,"Bulgaria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",236700,"bg"
"604",2009,"Bulgaria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",129300,"bg"
"610",2009,"Bulgaria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",107400,"bg"
"616",2009,"Czechia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",351700,"cz"
"622",2009,"Czechia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",175200,"cz"
"628",2009,"Czechia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",176600,"cz"
"634",2009,"Denmark","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",177000,"dk"
"640",2009,"Denmark","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",103200,"dk"
"646",2009,"Denmark","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",73800,"dk"
"652",2009,"Estonia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",92200,"ee"
"658",2009,"Estonia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",58300,"ee"
"664",2009,"Estonia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",33900,"ee"
"670",2009,"Ireland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",290300,"ie"
"676",2009,"Ireland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",193300,"ie"
"682",2009,"Ireland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",97000,"ie"
"688",2009,"Greece","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",484000,"gr"
"694",2009,"Greece","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",203300,"gr"
"700",2009,"Greece","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",280700,"gr"
"706",2009,"Spain","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",4149300,"es"
"712",2009,"Spain","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",2296800,"es"
"718",2009,"Spain","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",1852400,"es"
"724",2009,"France","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",2453400,"fr"
"730",2009,"France","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",1278200,"fr"
"736",2009,"France","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",1175200,"fr"
"742",2009,"Croatia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",177900,"hr"
"748",2009,"Croatia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",82500,"hr"
"754",2009,"Croatia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",95400,"hr"
"760",2009,"Italy","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1902600,"it"
"766",2009,"Italy","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",974300,"it"
"772",2009,"Italy","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",928300,"it"
"778",2009,"Cyprus","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",21600,"cy"
"784",2009,"Cyprus","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",11300,"cy"
"790",2009,"Cyprus","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",10300,"cy"
"796",2009,"Latvia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",192000,"lv"
"802",2009,"Latvia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",114200,"lv"
"808",2009,"Latvia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",77800,"lv"
"814",2009,"Lithuania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",209900,"lt"
"820",2009,"Lithuania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",129400,"lt"
"826",2009,"Lithuania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",80600,"lt"
"832",2009,"Luxembourg","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",11700,"lu"
"838",2009,"Luxembourg","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",5700,"lu"
"844",2009,"Luxembourg","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",6000,"lu"
"850",2009,"Hungary","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",417500,"hu"
"856",2009,"Hungary","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",231900,"hu"
"862",2009,"Hungary","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",185600,"hu"
"868",2009,"Malta","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",11800,"mt"
"874",2009,"Malta","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",7300,"mt"
"880",2009,"Malta","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",4400,"mt"
"886",2009,"Netherlands","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",298800,"nl"
"892",2009,"Netherlands","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",160000,"nl"
"898",2009,"Netherlands","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",138700,"nl"
"904",2009,"Austria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",222600,"at"
"910",2009,"Austria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",123700,"at"
"916",2009,"Austria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",99000,"at"
"922",2009,"Poland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1409200,"pl"
"928",2009,"Poland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",732800,"pl"
"934",2009,"Poland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",676400,"pl"
"940",2009,"Portugal","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",516300,"pt"
"946",2009,"Portugal","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",252200,"pt"
"952",2009,"Portugal","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",264000,"pt"
"958",2009,"Romania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",680500,"ro"
"964",2009,"Romania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",423600,"ro"
"970",2009,"Romania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",256900,"ro"
"976",2009,"Slovenia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",61000,"si"
"982",2009,"Slovenia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",33300,"si"
"988",2009,"Slovenia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",27700,"si"
"994",2009,"Slovakia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",323300,"sk"
"1000",2009,"Slovakia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",170300,"sk"
"1006",2009,"Slovakia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",153000,"sk"
"1012",2009,"Finland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",220800,"fi"
"1018",2009,"Finland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",122300,"fi"
"1024",2009,"Finland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",98500,"fi"
"1030",2009,"Sweden","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",407300,"se"
"1036",2009,"Sweden","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",222200,"se"
"1042",2009,"Sweden","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",185100,"se"
"1048",2009,"Iceland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",12800,"is"
"1054",2009,"Iceland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",8100,"is"
"1060",2009,"Iceland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",4700,"is"
"1066",2009,"Norway","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",79300,"no"
"1072",2009,"Norway","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",47600,"no"
"1078",2009,"Norway","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",31700,"no"
"1084",2009,"Switzerland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",182300,"ch"
"1090",2009,"Switzerland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",89700,"ch"
"1096",2009,"Switzerland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",92600,"ch"
"1102",2009,"Montenegro","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1108",2009,"Montenegro","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1114",2009,"Montenegro","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1120",2009,"Serbia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"1126",2009,"Serbia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"1132",2009,"Serbia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"rs"
"1138",2009,"Turkey","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",3046800,"tr"
"1144",2009,"Turkey","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",2200500,"tr"
"1150",2009,"Turkey","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",846300,"tr"
"1156",2010,"Belgium","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",405500,"be"
"1162",2010,"Belgium","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",216700,"be"
"1168",2010,"Belgium","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",188800,"be"
"1174",2010,"Bulgaria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",350400,"bg"
"1180",2010,"Bulgaria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",198700,"bg"
"1186",2010,"Bulgaria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",151700,"bg"
"1192",2010,"Czechia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",382500,"cz"
"1198",2010,"Czechia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",190400,"cz"
"1204",2010,"Czechia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",192100,"cz"
"1210",2010,"Denmark","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",217800,"dk"
"1216",2010,"Denmark","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",128600,"dk"
"1222",2010,"Denmark","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",89200,"dk"
"1228",2010,"Estonia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",113300,"ee"
"1234",2010,"Estonia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",66000,"ee"
"1240",2010,"Estonia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",47300,"ee"
"1246",2010,"Ireland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",326500,"ie"
"1252",2010,"Ireland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",211800,"ie"
"1258",2010,"Ireland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",114700,"ie"
"1264",2010,"Greece","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",638200,"gr"
"1270",2010,"Greece","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",289200,"gr"
"1276",2010,"Greece","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",349000,"gr"
"1282",2010,"Spain","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",4636200,"es"
"1288",2010,"Spain","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",2532700,"es"
"1294",2010,"Spain","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",2103600,"es"
"1300",2010,"France","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",2501200,"fr"
"1306",2010,"France","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",1285300,"fr"
"1312",2010,"France","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",1215900,"fr"
"1318",2010,"Croatia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",222100,"hr"
"1324",2010,"Croatia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",114000,"hr"
"1330",2010,"Croatia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",108100,"hr"
"1336",2010,"Italy","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",2051300,"it"
"1342",2010,"Italy","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",1080700,"it"
"1348",2010,"Italy","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",970600,"it"
"1354",2010,"Cyprus","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",26400,"cy"
"1360",2010,"Cyprus","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",13600,"cy"
"1366",2010,"Cyprus","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",12800,"cy"
"1372",2010,"Latvia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",204800,"lv"
"1378",2010,"Latvia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",117800,"lv"
"1384",2010,"Latvia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",87000,"lv"
"1390",2010,"Lithuania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",269900,"lt"
"1396",2010,"Lithuania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",158600,"lt"
"1402",2010,"Lithuania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",111400,"lt"
"1408",2010,"Luxembourg","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",10100,"lu"
"1414",2010,"Luxembourg","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",4900,"lu"
"1420",2010,"Luxembourg","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",5100,"lu"
"1426",2010,"Hungary","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",469200,"hu"
"1432",2010,"Hungary","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",261600,"hu"
"1438",2010,"Hungary","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",207600,"hu"
"1444",2010,"Malta","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",11900,"mt"
"1450",2010,"Malta","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",7700,"mt"
"1456",2010,"Malta","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",4300,"mt"
"1462",2010,"Netherlands","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",387300,"nl"
"1468",2010,"Netherlands","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",206600,"nl"
"1474",2010,"Netherlands","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",180700,"nl"
"1480",2010,"Austria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",203200,"at"
"1486",2010,"Austria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",112500,"at"
"1492",2010,"Austria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",90700,"at"
"1498",2010,"Poland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",1645600,"pl"
"1504",2010,"Poland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",878600,"pl"
"1510",2010,"Poland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",766900,"pl"
"1516",2010,"Portugal","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",589500,"pt"
"1522",2010,"Portugal","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",277200,"pt"
"1528",2010,"Portugal","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",312300,"pt"
"1534",2010,"Romania","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",651200,"ro"
"1540",2010,"Romania","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",399100,"ro"
"1546",2010,"Romania","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",252100,"ro"
"1552",2010,"Slovenia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",75400,"si"
"1558",2010,"Slovenia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",41900,"si"
"1564",2010,"Slovenia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",33400,"si"
"1570",2010,"Slovakia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",388900,"sk"
"1576",2010,"Slovakia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",212500,"sk"
"1582",2010,"Slovakia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",176400,"sk"
"1588",2010,"Finland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",224000,"fi"
"1594",2010,"Finland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",125900,"fi"
"1600",2010,"Finland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",98200,"fi"
"1606",2010,"Sweden","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",423600,"se"
"1612",2010,"Sweden","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",226400,"se"
"1618",2010,"Sweden","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",197200,"se"
"1624",2010,"Iceland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",13300,"is"
"1630",2010,"Iceland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",7700,"is"
"1636",2010,"Iceland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",5600,"is"
"1642",2010,"Norway","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",90800,"no"
"1648",2010,"Norway","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",55100,"no"
"1654",2010,"Norway","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",35700,"no"
"1660",2010,"Switzerland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",211600,"ch"
"1666",2010,"Switzerland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",106800,"ch"
"1672",2010,"Switzerland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",104800,"ch"
"1678",2010,"Montenegro","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1684",2010,"Montenegro","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1690",2010,"Montenegro","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",0,"me"
"1696",2010,"Serbia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",566300,"rs"
