"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"431",2008,"Slovakia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",754500,"sk"
"437",2008,"Finland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",844800,"fi"
"443",2008,"Finland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",389300,"fi"
"449",2008,"Finland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",455500,"fi"
"455",2008,"Sweden","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1248700,"se"
"461",2008,"Sweden","Males","Total","From 15 to 64 years","Inactive persons","Thousand",562600,"se"
"467",2008,"Sweden","Females","Total","From 15 to 64 years","Inactive persons","Thousand",686100,"se"
"473",2008,"Iceland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",28200,"is"
"479",2008,"Iceland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",10300,"is"
"485",2008,"Iceland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",17900,"is"
"491",2008,"Norway","Total","Total","From 15 to 64 years","Inactive persons","Thousand",629400,"no"
"497",2008,"Norway","Males","Total","From 15 to 64 years","Inactive persons","Thousand",276800,"no"
"503",2008,"Norway","Females","Total","From 15 to 64 years","Inactive persons","Thousand",352600,"no"
"509",2008,"Switzerland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",914600,"ch"
"515",2008,"Switzerland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",312600,"ch"
"521",2008,"Switzerland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",602000,"ch"
"527",2008,"Montenegro","Total","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"533",2008,"Montenegro","Males","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"539",2008,"Montenegro","Females","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"545",2008,"Serbia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"551",2008,"Serbia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"557",2008,"Serbia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"563",2008,"Turkey","Total","Total","From 15 to 64 years","Inactive persons","Thousand",23080200,"tr"
"569",2008,"Turkey","Males","Total","From 15 to 64 years","Inactive persons","Thousand",5974500,"tr"
"575",2008,"Turkey","Females","Total","From 15 to 64 years","Inactive persons","Thousand",17105800,"tr"
"581",2009,"Belgium","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2356800,"be"
"587",2009,"Belgium","Males","Total","From 15 to 64 years","Inactive persons","Thousand",972800,"be"
"593",2009,"Belgium","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1383900,"be"
"599",2009,"Bulgaria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1680300,"bg"
"605",2009,"Bulgaria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",712000,"bg"
"611",2009,"Bulgaria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",968300,"bg"
"617",2009,"Czechia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2222100,"cz"
"623",2009,"Czechia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",808400,"cz"
"629",2009,"Czechia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1413600,"cz"
"635",2009,"Denmark","Total","Total","From 15 to 64 years","Inactive persons","Thousand",714300,"dk"
"641",2009,"Denmark","Males","Total","From 15 to 64 years","Inactive persons","Thousand",298500,"dk"
"647",2009,"Denmark","Females","Total","From 15 to 64 years","Inactive persons","Thousand",415800,"dk"
"653",2009,"Estonia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",233400,"ee"
"659",2009,"Estonia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",97700,"ee"
"665",2009,"Estonia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",135700,"ee"
"671",2009,"Ireland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",835300,"ie"
"677",2009,"Ireland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",299600,"ie"
"683",2009,"Ireland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",535800,"ie"
"689",2009,"Greece","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2392800,"gr"
"695",2009,"Greece","Males","Total","From 15 to 64 years","Inactive persons","Thousand",782800,"gr"
"701",2009,"Greece","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1610000,"gr"
"707",2009,"Spain","Total","Total","From 15 to 64 years","Inactive persons","Thousand",8510000,"es"
"713",2009,"Spain","Males","Total","From 15 to 64 years","Inactive persons","Thousand",3065200,"es"
"719",2009,"Spain","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5444800,"es"
"725",2009,"France","Total","Total","From 15 to 64 years","Inactive persons","Thousand",11851400,"fr"
"731",2009,"France","Males","Total","From 15 to 64 years","Inactive persons","Thousand",4905800,"fr"
"737",2009,"France","Females","Total","From 15 to 64 years","Inactive persons","Thousand",6945600,"fr"
"743",2009,"Croatia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",987600,"hr"
"749",2009,"Croatia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",416500,"hr"
"755",2009,"Croatia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",571100,"hr"
"761",2009,"Italy","Total","Total","From 15 to 64 years","Inactive persons","Thousand",14684900,"it"
"767",2009,"Italy","Males","Total","From 15 to 64 years","Inactive persons","Thousand",5118500,"it"
"773",2009,"Italy","Females","Total","From 15 to 64 years","Inactive persons","Thousand",9566400,"it"
"779",2009,"Cyprus","Total","Total","From 15 to 64 years","Inactive persons","Thousand",145200,"cy"
"785",2009,"Cyprus","Males","Total","From 15 to 64 years","Inactive persons","Thousand",49700,"cy"
"791",2009,"Cyprus","Females","Total","From 15 to 64 years","Inactive persons","Thousand",95500,"cy"
"797",2009,"Latvia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",384400,"lv"
"803",2009,"Latvia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",163000,"lv"
"809",2009,"Latvia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",221400,"lv"
"815",2009,"Lithuania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",654800,"lt"
"821",2009,"Lithuania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",294200,"lt"
"827",2009,"Lithuania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",360700,"lt"
"833",2009,"Luxembourg","Total","Total","From 15 to 64 years","Inactive persons","Thousand",103000,"lu"
"839",2009,"Luxembourg","Males","Total","From 15 to 64 years","Inactive persons","Thousand",39200,"lu"
"845",2009,"Luxembourg","Females","Total","From 15 to 64 years","Inactive persons","Thousand",63900,"lu"
"851",2009,"Hungary","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2618900,"hu"
"857",2009,"Hungary","Males","Total","From 15 to 64 years","Inactive persons","Thousand",1065900,"hu"
"863",2009,"Hungary","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1553000,"hu"
"869",2009,"Malta","Total","Total","From 15 to 64 years","Inactive persons","Thousand",116100,"mt"
"875",2009,"Malta","Males","Total","From 15 to 64 years","Inactive persons","Thousand",33400,"mt"
"881",2009,"Malta","Females","Total","From 15 to 64 years","Inactive persons","Thousand",82700,"mt"
"887",2009,"Netherlands","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2227600,"nl"
"893",2009,"Netherlands","Males","Total","From 15 to 64 years","Inactive persons","Thousand",811300,"nl"
"899",2009,"Netherlands","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1416300,"nl"
"905",2009,"Austria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1426500,"at"
"911",2009,"Austria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",552800,"at"
"917",2009,"Austria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",873700,"at"
"923",2009,"Poland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",9299600,"pl"
"929",2009,"Poland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",3660300,"pl"
"935",2009,"Poland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5639300,"pl"
"941",2009,"Portugal","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1867800,"pt"
"947",2009,"Portugal","Males","Total","From 15 to 64 years","Inactive persons","Thousand",750000,"pt"
"953",2009,"Portugal","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1117700,"pt"
"959",2009,"Romania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",5543000,"ro"
"965",2009,"Romania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",2181800,"ro"
"971",2009,"Romania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",3361200,"ro"
"977",2009,"Slovenia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",398100,"si"
"983",2009,"Slovenia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",177200,"si"
"989",2009,"Slovenia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",220800,"si"
"995",2009,"Slovakia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1236700,"sk"
"1001",2009,"Slovakia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",463500,"sk"
"1007",2009,"Slovakia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",773300,"sk"
"1013",2009,"Finland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",883200,"fi"
"1019",2009,"Finland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",418800,"fi"
"1025",2009,"Finland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",464400,"fi"
"1031",2009,"Sweden","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1281500,"se"
"1037",2009,"Sweden","Males","Total","From 15 to 64 years","Inactive persons","Thousand",575000,"se"
"1043",2009,"Sweden","Females","Total","From 15 to 64 years","Inactive persons","Thousand",706500,"se"
"1049",2009,"Iceland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",31400,"is"
"1055",2009,"Iceland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",12800,"is"
"1061",2009,"Iceland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",18600,"is"
"1067",2009,"Norway","Total","Total","From 15 to 64 years","Inactive persons","Thousand",673200,"no"
"1073",2009,"Norway","Males","Total","From 15 to 64 years","Inactive persons","Thousand",304200,"no"
"1079",2009,"Norway","Females","Total","From 15 to 64 years","Inactive persons","Thousand",368900,"no"
"1085",2009,"Switzerland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",916900,"ch"
"1091",2009,"Switzerland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",321600,"ch"
"1097",2009,"Switzerland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",595300,"ch"
"1103",2009,"Montenegro","Total","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1109",2009,"Montenegro","Males","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1115",2009,"Montenegro","Females","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1121",2009,"Serbia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"1127",2009,"Serbia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"1133",2009,"Serbia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",0,"rs"
"1139",2009,"Turkey","Total","Total","From 15 to 64 years","Inactive persons","Thousand",23026400,"tr"
"1145",2009,"Turkey","Males","Total","From 15 to 64 years","Inactive persons","Thousand",6033900,"tr"
"1151",2009,"Turkey","Females","Total","From 15 to 64 years","Inactive persons","Thousand",16992600,"tr"
"1157",2010,"Belgium","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2320700,"be"
"1163",2010,"Belgium","Males","Total","From 15 to 64 years","Inactive persons","Thousand",957700,"be"
"1169",2010,"Belgium","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1363000,"be"
"1175",2010,"Bulgaria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1691700,"bg"
"1181",2010,"Bulgaria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",735400,"bg"
"1187",2010,"Bulgaria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",956300,"bg"
"1193",2010,"Czechia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2207400,"cz"
"1199",2010,"Czechia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",800600,"cz"
"1205",2010,"Czechia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1406800,"cz"
"1211",2010,"Denmark","Total","Total","From 15 to 64 years","Inactive persons","Thousand",746800,"dk"
"1217",2010,"Denmark","Males","Total","From 15 to 64 years","Inactive persons","Thousand",316700,"dk"
"1223",2010,"Denmark","Females","Total","From 15 to 64 years","Inactive persons","Thousand",430100,"dk"
"1229",2010,"Estonia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",233800,"ee"
"1235",2010,"Estonia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",101200,"ee"
"1241",2010,"Estonia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",132600,"ee"
"1247",2010,"Ireland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",875300,"ie"
"1253",2010,"Ireland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",328000,"ie"
"1259",2010,"Ireland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",547300,"ie"
"1265",2010,"Greece","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2344400,"gr"
"1271",2010,"Greece","Males","Total","From 15 to 64 years","Inactive persons","Thousand",782300,"gr"
"1277",2010,"Greece","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1562100,"gr"
"1283",2010,"Spain","Total","Total","From 15 to 64 years","Inactive persons","Thousand",8357400,"es"
"1289",2010,"Spain","Males","Total","From 15 to 64 years","Inactive persons","Thousand",3091400,"es"
"1295",2010,"Spain","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5266000,"es"
"1301",2010,"France","Total","Total","From 15 to 64 years","Inactive persons","Thousand",11890800,"fr"
"1307",2010,"France","Males","Total","From 15 to 64 years","Inactive persons","Thousand",4939900,"fr"
"1313",2010,"France","Females","Total","From 15 to 64 years","Inactive persons","Thousand",6950900,"fr"
"1319",2010,"Croatia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1002200,"hr"
"1325",2010,"Croatia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",422100,"hr"
"1331",2010,"Croatia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",580200,"hr"
"1337",2010,"Italy","Total","Total","From 15 to 64 years","Inactive persons","Thousand",14825300,"it"
"1343",2010,"Italy","Males","Total","From 15 to 64 years","Inactive persons","Thousand",5212900,"it"
"1349",2010,"Italy","Females","Total","From 15 to 64 years","Inactive persons","Thousand",9612400,"it"
"1355",2010,"Cyprus","Total","Total","From 15 to 64 years","Inactive persons","Thousand",146400,"cy"
"1361",2010,"Cyprus","Males","Total","From 15 to 64 years","Inactive persons","Thousand",51800,"cy"
"1367",2010,"Cyprus","Females","Total","From 15 to 64 years","Inactive persons","Thousand",94600,"cy"
"1373",2010,"Latvia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",383200,"lv"
"1379",2010,"Latvia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",168000,"lv"
"1385",2010,"Latvia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",215200,"lv"
"1391",2010,"Lithuania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",632900,"lt"
"1397",2010,"Lithuania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",287000,"lt"
"1403",2010,"Lithuania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",345900,"lt"
"1409",2010,"Luxembourg","Total","Total","From 15 to 64 years","Inactive persons","Thousand",106600,"lu"
"1415",2010,"Luxembourg","Males","Total","From 15 to 64 years","Inactive persons","Thousand",40500,"lu"
"1421",2010,"Luxembourg","Females","Total","From 15 to 64 years","Inactive persons","Thousand",66000,"lu"
"1427",2010,"Hungary","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2565500,"hu"
"1433",2010,"Hungary","Males","Total","From 15 to 64 years","Inactive persons","Thousand",1062300,"hu"
"1439",2010,"Hungary","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1503100,"hu"
"1445",2010,"Malta","Total","Total","From 15 to 64 years","Inactive persons","Thousand",113000,"mt"
"1451",2010,"Malta","Males","Total","From 15 to 64 years","Inactive persons","Thousand",32100,"mt"
"1457",2010,"Malta","Females","Total","From 15 to 64 years","Inactive persons","Thousand",80900,"mt"
"1463",2010,"Netherlands","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2403200,"nl"
"1469",2010,"Netherlands","Males","Total","From 15 to 64 years","Inactive persons","Thousand",900700,"nl"
"1475",2010,"Netherlands","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1502500,"nl"
"1481",2010,"Austria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1425000,"at"
"1487",2010,"Austria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",553400,"at"
"1493",2010,"Austria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",871700,"at"
"1499",2010,"Poland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",8963400,"pl"
"1505",2010,"Poland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",3590800,"pl"
"1511",2010,"Poland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5372500,"pl"
"1517",2010,"Portugal","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1845700,"pt"
"1523",2010,"Portugal","Males","Total","From 15 to 64 years","Inactive persons","Thousand",759100,"pt"
"1529",2010,"Portugal","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1086600,"pt"
"1535",2010,"Romania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",4838800,"ro"
"1541",2010,"Romania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",1817800,"ro"
"1547",2010,"Romania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",3021000,"ro"
"1553",2010,"Slovenia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",405400,"si"
"1559",2010,"Slovenia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",180200,"si"
"1565",2010,"Slovenia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",225200,"si"
"1571",2010,"Slovakia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1230100,"sk"
"1577",2010,"Slovakia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",469500,"sk"
"1583",2010,"Slovakia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",760600,"sk"
"1589",2010,"Finland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",902400,"fi"
"1595",2010,"Finland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",419000,"fi"
"1601",2010,"Finland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",483300,"fi"
"1607",2010,"Sweden","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1276100,"se"
"1613",2010,"Sweden","Males","Total","From 15 to 64 years","Inactive persons","Thousand",562000,"se"
"1619",2010,"Sweden","Females","Total","From 15 to 64 years","Inactive persons","Thousand",714100,"se"
"1625",2010,"Iceland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",31000,"is"
"1631",2010,"Iceland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",12800,"is"
"1637",2010,"Iceland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",18300,"is"
"1643",2010,"Norway","Total","Total","From 15 to 64 years","Inactive persons","Thousand",706500,"no"
"1649",2010,"Norway","Males","Total","From 15 to 64 years","Inactive persons","Thousand",319200,"no"
"1655",2010,"Norway","Females","Total","From 15 to 64 years","Inactive persons","Thousand",387300,"no"
"1661",2010,"Switzerland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",988800,"ch"
"1667",2010,"Switzerland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",340200,"ch"
"1673",2010,"Switzerland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",648600,"ch"
"1679",2010,"Montenegro","Total","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1685",2010,"Montenegro","Males","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1691",2010,"Montenegro","Females","Total","From 15 to 64 years","Inactive persons","Thousand",0,"me"
"1697",2010,"Serbia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1965700,"rs"
"1703",2010,"Serbia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",770000,"rs"
"1709",2010,"Serbia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1195600,"rs"
"1715",2010,"Turkey","Total","Total","From 15 to 64 years","Inactive persons","Thousand",22841900,"tr"
"1721",2010,"Turkey","Males","Total","From 15 to 64 years","Inactive persons","Thousand",6013400,"tr"
