"TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","71,719.9"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Population","Thousand","129,258.5"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Active persons","Thousand","102,672.6"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Employed persons","Thousand","95,768.0"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","6,904.6"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","26,585.9"
"2008","European Union (15 countries)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Population","Thousand","129,650.2"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Active persons","Thousand","84,516.2"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Employed persons","Thousand","78,039.5"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","6,476.7"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","45,134.0"
"2008","European Union (15 countries)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Population","Thousand","219,605.9"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Active persons","Thousand","156,418.6"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Employed persons","Thousand","144,645.2"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","11,773.4"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","63,187.3"
"2008","Euro area (19 countries)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Population","Thousand","109,665.7"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Active persons","Thousand","86,173.9"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Employed persons","Thousand","80,211.1"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","5,962.7"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","23,491.8"
"2008","Euro area (19 countries)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Population","Thousand","109,940.3"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Active persons","Thousand","70,244.8"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Employed persons","Thousand","64,434.1"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","5,810.7"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","39,695.5"
"2008","Euro area (19 countries)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Population","Thousand","217,436.8"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Active persons","Thousand","154,934.3"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Employed persons","Thousand","143,248.3"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","11,686.0"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","62,502.5"
"2008","Euro area (18 countries)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Population","Thousand","108,620.0"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Active persons","Thousand","85,425.4"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Employed persons","Thousand","79,508.3"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","5,917.1"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","23,194.6"
"2008","Euro area (18 countries)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Population","Thousand","108,816.8"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Active persons","Thousand","69,508.9"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Employed persons","Thousand","63,740.0"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","5,768.9"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","39,307.9"
"2008","Euro area (18 countries)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Population","Thousand","215,957.7"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Active persons","Thousand","153,837.4"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Employed persons","Thousand","142,239.5"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","11,597.9"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","62,120.3"
"2008","Euro area (17 countries)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Population","Thousand","107,909.6"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Active persons","Thousand","84,869.2"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Employed persons","Thousand","79,000.6"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","5,868.6"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","23,040.4"
"2008","Euro area (17 countries)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Population","Thousand","108,048.1"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Active persons","Thousand","68,968.2"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Employed persons","Thousand","63,238.9"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","5,729.3"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","39,079.9"
"2008","Euro area (17 countries)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Belgium","Total","Total","From 15 to 64 years","Population","Thousand","7,073.3"
"2008","Belgium","Total","Total","From 15 to 64 years","Active persons","Thousand","4,746.6"
"2008","Belgium","Total","Total","From 15 to 64 years","Employed persons","Thousand","4,413.7"
"2008","Belgium","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","333.0"
"2008","Belgium","Total","Total","From 15 to 64 years","Inactive persons","Thousand","2,326.6"
"2008","Belgium","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Belgium","Males","Total","From 15 to 64 years","Population","Thousand","3,556.7"
"2008","Belgium","Males","Total","From 15 to 64 years","Active persons","Thousand","2,608.6"
"2008","Belgium","Males","Total","From 15 to 64 years","Employed persons","Thousand","2,438.7"
"2008","Belgium","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","169.8"
"2008","Belgium","Males","Total","From 15 to 64 years","Inactive persons","Thousand","948.1"
"2008","Belgium","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Belgium","Females","Total","From 15 to 64 years","Population","Thousand","3,516.5"
"2008","Belgium","Females","Total","From 15 to 64 years","Active persons","Thousand","2,138.1"
"2008","Belgium","Females","Total","From 15 to 64 years","Employed persons","Thousand","1,974.9"
"2008","Belgium","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","163.1"
"2008","Belgium","Females","Total","From 15 to 64 years","Inactive persons","Thousand","1,378.5"
"2008","Belgium","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Population","Thousand","5,169.4"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Active persons","Thousand","3,504.7"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Employed persons","Thousand","3,306.2"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","198.5"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Inactive persons","Thousand","1,664.7"
"2008","Bulgaria","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Population","Thousand","2,562.4"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Active persons","Thousand","1,858.8"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Employed persons","Thousand","1,755.5"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","103.3"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Inactive persons","Thousand","703.6"
"2008","Bulgaria","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Population","Thousand","2,607.0"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Active persons","Thousand","1,645.9"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Employed persons","Thousand","1,550.8"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","95.1"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Inactive persons","Thousand","961.1"
"2008","Bulgaria","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Czechia","Total","Total","From 15 to 64 years","Population","Thousand","7,410.4"
"2008","Czechia","Total","Total","From 15 to 64 years","Active persons","Thousand","5,162.8"
"2008","Czechia","Total","Total","From 15 to 64 years","Employed persons","Thousand","4,933.5"
"2008","Czechia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","229.3"
"2008","Czechia","Total","Total","From 15 to 64 years","Inactive persons","Thousand","2,247.7"
"2008","Czechia","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Czechia","Males","Total","From 15 to 64 years","Population","Thousand","3,739.4"
"2008","Czechia","Males","Total","From 15 to 64 years","Active persons","Thousand","2,922.1"
"2008","Czechia","Males","Total","From 15 to 64 years","Employed persons","Thousand","2,819.9"
"2008","Czechia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","102.2"
"2008","Czechia","Males","Total","From 15 to 64 years","Inactive persons","Thousand","817.3"
"2008","Czechia","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Czechia","Females","Total","From 15 to 64 years","Population","Thousand","3,671.1"
"2008","Czechia","Females","Total","From 15 to 64 years","Active persons","Thousand","2,240.7"
"2008","Czechia","Females","Total","From 15 to 64 years","Employed persons","Thousand","2,113.7"
"2008","Czechia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","127.0"
"2008","Czechia","Females","Total","From 15 to 64 years","Inactive persons","Thousand","1,430.4"
"2008","Czechia","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Denmark","Total","Total","From 15 to 64 years","Population","Thousand","3,604.6"
"2008","Denmark","Total","Total","From 15 to 64 years","Active persons","Thousand","2,907.8"
"2008","Denmark","Total","Total","From 15 to 64 years","Employed persons","Thousand","2,806.7"
"2008","Denmark","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","101.1"
"2008","Denmark","Total","Total","From 15 to 64 years","Inactive persons","Thousand","696.8"
"2008","Denmark","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Denmark","Males","Total","From 15 to 64 years","Population","Thousand","1,818.7"
"2008","Denmark","Males","Total","From 15 to 64 years","Active persons","Thousand","1,533.4"
"2008","Denmark","Males","Total","From 15 to 64 years","Employed persons","Thousand","1,484.0"
"2008","Denmark","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","49.4"
"2008","Denmark","Males","Total","From 15 to 64 years","Inactive persons","Thousand","285.3"
"2008","Denmark","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Denmark","Females","Total","From 15 to 64 years","Population","Thousand","1,785.9"
"2008","Denmark","Females","Total","From 15 to 64 years","Active persons","Thousand","1,374.4"
"2008","Denmark","Females","Total","From 15 to 64 years","Employed persons","Thousand","1,322.7"
"2008","Denmark","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","51.7"
"2008","Denmark","Females","Total","From 15 to 64 years","Inactive persons","Thousand","411.5"
"2008","Denmark","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Population","Thousand","54,066.0"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Active persons","Thousand","41,032.4"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Employed persons","Thousand","37,902.3"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","3,130.0"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","13,033.6"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Population","Thousand","27,212.5"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Active persons","Thousand","22,313.4"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Employed persons","Thousand","20,631.2"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","1,682.3"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","4,899.1"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Population","Thousand","26,853.5"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Active persons","Thousand","18,718.9"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Employed persons","Thousand","17,271.1"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","1,447.8"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","8,134.5"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Estonia","Total","Total","From 15 to 64 years","Population","Thousand","902.2"
"2008","Estonia","Total","Total","From 15 to 64 years","Active persons","Thousand","669.6"
"2008","Estonia","Total","Total","From 15 to 64 years","Employed persons","Thousand","632.2"
"2008","Estonia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","37.4"
"2008","Estonia","Total","Total","From 15 to 64 years","Inactive persons","Thousand","232.7"
"2008","Estonia","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Estonia","Males","Total","From 15 to 64 years","Population","Thousand","438.6"
"2008","Estonia","Males","Total","From 15 to 64 years","Active persons","Thousand","343.7"
"2008","Estonia","Males","Total","From 15 to 64 years","Employed persons","Thousand","323.3"
"2008","Estonia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","20.3"
"2008","Estonia","Males","Total","From 15 to 64 years","Inactive persons","Thousand","94.9"
"2008","Estonia","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Estonia","Females","Total","From 15 to 64 years","Population","Thousand","463.6"
"2008","Estonia","Females","Total","From 15 to 64 years","Active persons","Thousand","325.9"
"2008","Estonia","Females","Total","From 15 to 64 years","Employed persons","Thousand","308.9"
"2008","Estonia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","17.0"
"2008","Estonia","Females","Total","From 15 to 64 years","Inactive persons","Thousand","137.7"
"2008","Estonia","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Ireland","Total","Total","From 15 to 64 years","Population","Thousand","3,089.4"
"2008","Ireland","Total","Total","From 15 to 64 years","Active persons","Thousand","2,311.9"
"2008","Ireland","Total","Total","From 15 to 64 years","Employed persons","Thousand","2,152.3"
"2008","Ireland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","159.6"
"2008","Ireland","Total","Total","From 15 to 64 years","Inactive persons","Thousand","777.5"
"2008","Ireland","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Ireland","Males","Total","From 15 to 64 years","Population","Thousand","1,553.9"
"2008","Ireland","Males","Total","From 15 to 64 years","Active persons","Thousand","1,298.3"
"2008","Ireland","Males","Total","From 15 to 64 years","Employed persons","Thousand","1,197.1"
"2008","Ireland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","101.1"
"2008","Ireland","Males","Total","From 15 to 64 years","Inactive persons","Thousand","255.7"
"2008","Ireland","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Ireland","Females","Total","From 15 to 64 years","Population","Thousand","1,535.5"
"2008","Ireland","Females","Total","From 15 to 64 years","Active persons","Thousand","1,013.7"
"2008","Ireland","Females","Total","From 15 to 64 years","Employed persons","Thousand","955.2"
"2008","Ireland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","58.5"
"2008","Ireland","Females","Total","From 15 to 64 years","Inactive persons","Thousand","521.8"
"2008","Ireland","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Greece","Total","Total","From 15 to 64 years","Population","Thousand","7,365.8"
"2008","Greece","Total","Total","From 15 to 64 years","Active persons","Thousand","4,910.0"
"2008","Greece","Total","Total","From 15 to 64 years","Employed persons","Thousand","4,522.9"
"2008","Greece","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","387.1"
"2008","Greece","Total","Total","From 15 to 64 years","Inactive persons","Thousand","2,455.8"
"2008","Greece","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Greece","Males","Total","From 15 to 64 years","Population","Thousand","3,660.7"
"2008","Greece","Males","Total","From 15 to 64 years","Active persons","Thousand","2,871.8"
"2008","Greece","Males","Total","From 15 to 64 years","Employed persons","Thousand","2,721.9"
"2008","Greece","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","149.9"
"2008","Greece","Males","Total","From 15 to 64 years","Inactive persons","Thousand","788.9"
"2008","Greece","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Greece","Females","Total","From 15 to 64 years","Population","Thousand","3,705.1"
"2008","Greece","Females","Total","From 15 to 64 years","Active persons","Thousand","2,038.2"
"2008","Greece","Females","Total","From 15 to 64 years","Employed persons","Thousand","1,801.0"
"2008","Greece","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","237.2"
"2008","Greece","Females","Total","From 15 to 64 years","Inactive persons","Thousand","1,666.8"
"2008","Greece","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Spain","Total","Total","From 15 to 64 years","Population","Thousand","31,506.9"
"2008","Spain","Total","Total","From 15 to 64 years","Active persons","Thousand","22,908.5"
"2008","Spain","Total","Total","From 15 to 64 years","Employed persons","Thousand","20,316.5"
"2008","Spain","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","2,592.0"
"2008","Spain","Total","Total","From 15 to 64 years","Inactive persons","Thousand","8,598.4"
"2008","Spain","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Spain","Males","Total","From 15 to 64 years","Population","Thousand","15,964.1"
"2008","Spain","Males","Total","From 15 to 64 years","Active persons","Thousand","13,026.4"
"2008","Spain","Males","Total","From 15 to 64 years","Employed persons","Thousand","11,708.1"
"2008","Spain","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","1,318.3"
"2008","Spain","Males","Total","From 15 to 64 years","Inactive persons","Thousand","2,937.7"
"2008","Spain","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Spain","Females","Total","From 15 to 64 years","Population","Thousand","15,542.8"
"2008","Spain","Females","Total","From 15 to 64 years","Active persons","Thousand","9,882.1"
"2008","Spain","Females","Total","From 15 to 64 years","Employed persons","Thousand","8,608.4"
"2008","Spain","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","1,273.7"
"2008","Spain","Females","Total","From 15 to 64 years","Inactive persons","Thousand","5,660.7"
"2008","Spain","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","France","Total","Total","From 15 to 64 years","Population","Thousand","39,731.8"
"2008","France","Total","Total","From 15 to 64 years","Active persons","Thousand","27,759.4"
"2008","France","Total","Total","From 15 to 64 years","Employed persons","Thousand","25,792.5"
"2008","France","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","1,966.9"
"2008","France","Total","Total","From 15 to 64 years","Inactive persons","Thousand","11,972.4"
"2008","France","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","France","Males","Total","From 15 to 64 years","Population","Thousand","19,538.0"
"2008","France","Males","Total","From 15 to 64 years","Active persons","Thousand","14,596.0"
"2008","France","Males","Total","From 15 to 64 years","Employed persons","Thousand","13,611.8"
"2008","France","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","984.2"
"2008","France","Males","Total","From 15 to 64 years","Inactive persons","Thousand","4,942.0"
"2008","France","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","France","Females","Total","From 15 to 64 years","Population","Thousand","20,193.8"
"2008","France","Females","Total","From 15 to 64 years","Active persons","Thousand","13,163.3"
"2008","France","Females","Total","From 15 to 64 years","Employed persons","Thousand","12,180.7"
"2008","France","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","982.7"
"2008","France","Females","Total","From 15 to 64 years","Inactive persons","Thousand","7,030.5"
"2008","France","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Croatia","Total","Total","From 15 to 64 years","Population","Thousand","2,874.4"
"2008","Croatia","Total","Total","From 15 to 64 years","Active persons","Thousand","1,890.0"
"2008","Croatia","Total","Total","From 15 to 64 years","Employed persons","Thousand","1,725.0"
"2008","Croatia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","165.0"
"2008","Croatia","Total","Total","From 15 to 64 years","Inactive persons","Thousand","984.4"
"2008","Croatia","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Croatia","Males","Total","From 15 to 64 years","Population","Thousand","1,435.5"
"2008","Croatia","Males","Total","From 15 to 64 years","Active persons","Thousand","1,041.0"
"2008","Croatia","Males","Total","From 15 to 64 years","Employed persons","Thousand","966.3"
"2008","Croatia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","74.7"
"2008","Croatia","Males","Total","From 15 to 64 years","Inactive persons","Thousand","394.5"
"2008","Croatia","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Croatia","Females","Total","From 15 to 64 years","Population","Thousand","1,438.9"
"2008","Croatia","Females","Total","From 15 to 64 years","Active persons","Thousand","849.0"
"2008","Croatia","Females","Total","From 15 to 64 years","Employed persons","Thousand","758.6"
"2008","Croatia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","90.3"
"2008","Croatia","Females","Total","From 15 to 64 years","Inactive persons","Thousand","590.0"
"2008","Croatia","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Italy","Total","Total","From 15 to 64 years","Population","Thousand","38,713.1"
"2008","Italy","Total","Total","From 15 to 64 years","Active persons","Thousand","24,356.5"
"2008","Italy","Total","Total","From 15 to 64 years","Employed persons","Thousand","22,698.6"
"2008","Italy","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","1,657.9"
"2008","Italy","Total","Total","From 15 to 64 years","Inactive persons","Thousand","14,356.5"
"2008","Italy","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","Italy","Males","Total","From 15 to 64 years","Population","Thousand","19,264.1"
